"density","group"
213,"Active"
227,"Active"
211,"Active"
208,"Active"
155,"Active"
204,"Active"
216,"Active"
219,"Active"
224,"Active"
202,"Active"
207,"Active"
212,"Active"
184,"Active"
214,"Active"
245,"Active"
210,"Active"
192,"Active"
218,"Active"
219,"Active"
163,"Active"
230,"Active"
214,"Active"
209,"Active"
210,"Active"
226,"Active"
203,"Active"
208,"Active"
207,"Active"
217,"Active"
257,"Active"
212,"Active"
203,"Active"
232,"Active"
221,"Active"
215,"Active"
201,"Nonactive"
205,"Nonactive"
187,"Nonactive"
208,"Nonactive"
203,"Nonactive"
265,"Nonactive"
201,"Nonactive"
210,"Nonactive"
219,"Nonactive"
205,"Nonactive"
173,"Nonactive"
202,"Nonactive"
199,"Nonactive"
216,"Nonactive"
192,"Nonactive"
207,"Nonactive"
243,"Nonactive"
194,"Nonactive"
201,"Nonactive"
217,"Nonactive"
270,"Nonactive"
209,"Nonactive"
185,"Nonactive"
176,"Nonactive"
202,"Nonactive"
211,"Nonactive"
213,"Nonactive"
208,"Nonactive"
236,"Nonactive"
214,"Nonactive"
209,"Nonactive"
162,"Nonactive"
204,"Nonactive"
206,"Nonactive"
213,"Nonactive"
